body_type,daysonmarket,fuel_type,has_accidents,highway_fuel_economy,horsepower,is_new,make_name,mileage,price,seller_rating,year
SUV / Crossover,179,Gasoline,,26.0,550.0,True,Land Rover,9.0,97525.0,3.0,2020
SUV / Crossover,5,Gasoline,,26.0,398.0,True,Land Rover,11.0,93985.0,3.0,2020
SUV / Crossover,15,Gasoline,False,25.0,295.0,False,Jeep,29342.0,23300.0,2.8,2017
SUV / Crossover,20,Gasoline,True,23.0,200.0,False,Volkswagen,30883.0,17500.0,2.8,2017
SUV / Crossover,35,Gasoline,False,30.0,237.0,False,Cadillac,4478.0,32439.0,3.4477611940298507,2019
SUV / Crossover,348,Gasoline,,26.0,395.0,True,Land Rover,104.0,101737.0,3.0,2020
Sedan,50,Gasoline,False,36.0,160.0,False,Chevrolet,35580.0,15324.0,3.4477611940298507,2018
SUV / Crossover,242,Gasoline,False,26.0,246.0,False,Jaguar,47846.74954561977,63059.0,3.0,2020
Sedan,473,Gasoline,,33.0,250.0,True,Mazda,10.0,37140.0,2.8,2018
SUV / Crossover,5,Gasoline,,26.0,296.0,True,Land Rover,11.0,64615.0,3.0,2020
SUV / Crossover,13,Gasoline,False,30.0,180.0,False,Jeep,18015.0,21300.0,2.8,2019
Sedan,88,Gasoline,False,39.0,153.0,False,Chevrolet,32585.0,15439.0,3.4477611940298507,2017
SUV / Crossover,529,Gasoline,,26.0,187.0,True,Mazda,5.0,35695.0,2.8,2019
SUV / Crossover,46,Gasoline,False,27.0,180.0,False,Jeep,29713.0,19700.0,2.8,2017
SUV / Crossover,5,Gasoline,,26.0,395.0,True,Land Rover,18.0,107750.0,3.0,2020
Pickup Truck,33,Biodiesel,False,22.0,450.0,False,Ford,20553.0,71969.0,3.4477611940298507,2019
Pickup Truck,2,Gasoline,True,25.0,308.0,False,Chevrolet,35460.0,25272.0,3.4477611940298507,2018
SUV / Crossover,20,Gasoline,False,26.0,284.0,False,Nissan,39838.0,23500.0,2.8,2017
SUV / Crossover,70,Gasoline,,26.0,340.0,True,Land Rover,11.0,64670.0,3.0,2020
Sedan,29,Gasoline,True,40.0,158.0,False,Honda,30370.0,13623.0,3.4477611940298507,2017
Pickup Truck,56,Gasoline,False,22.0,355.0,False,Chevrolet,28863.0,32439.0,3.4477611940298507,2017
SUV / Crossover,25,Gasoline,False,25.0,241.0,False,Jeep,12634.0,29300.0,2.8,2018
SUV / Crossover,22,Gasoline,False,25.0,241.0,False,Jeep,30928.0,29300.0,2.8,2018
SUV / Crossover,307,Gasoline,,26.0,518.0,True,Land Rover,12.0,118862.0,3.0,2020
Sedan,473,Gasoline,,33.0,250.0,True,Mazda,10.0,37140.0,2.8,2018
SUV / Crossover,34,Gasoline,False,26.0,182.0,False,Chevrolet,73000.0,12500.0,2.8,2017
SUV / Crossover,78,Flex Fuel Vehicle,True,26.0,355.0,False,Chevrolet,41487.0,37972.0,3.4477611940298507,2017
SUV / Crossover,278,Gasoline,False,26.0,246.0,False,Jaguar,47846.74954561977,65375.0,3.0,2020
